key,achievable,missing,fill_instant,exit_instant,hold_time_min,first_surface_poll,first_tail3_poll,staleness_min,freshness_passed,pushed_out_of_tail3,direction,backtest_R,r_1mtruth,win
2022-02-02T09:55:00-05:00,True,False,2022-02-02 09:55:00-05:00,2022-02-02 13:50:00-05:00,235.0,2022-02-02 09:55:00-05:00,2022-02-02 09:55:00-05:00,0.0,True,False,short,0.592,,True
2022-02-03T09:45:00-05:00,True,False,2022-02-03 09:45:00-05:00,2022-02-03 11:55:00-05:00,130.0,2022-02-03 09:45:00-05:00,2022-02-03 09:45:00-05:00,0.0,True,False,long,-0.008,,False
2022-02-04T10:45:00-05:00,True,False,2022-02-04 10:45:00-05:00,2022-02-04 11:15:00-05:00,30.0,2022-02-04 10:45:00-05:00,2022-02-04 10:45:00-05:00,0.0,True,False,long,-1.015,,False
2022-02-08T09:50:00-05:00,True,False,2022-02-08 09:50:00-05:00,2022-02-08 10:00:00-05:00,10.0,2022-02-08 09:50:00-05:00,2022-02-08 09:50:00-05:00,0.0,True,False,long,-0.018,,False
2022-02-10T10:50:00-05:00,False,True,2022-02-10 10:50:00-05:00,2022-02-10 10:55:00-05:00,5.0,2022-02-10 11:05:00-05:00,2022-02-10 11:05:00-05:00,15.0,False,False,long,-1.01,,False
2022-02-11T10:05:00-05:00,True,False,2022-02-11 10:05:00-05:00,2022-02-11 10:05:00-05:00,0.0,2022-02-11 10:05:00-05:00,2022-02-11 10:05:00-05:00,0.0,True,False,short,1.492,,True
2022-02-11T10:25:00-05:00,True,False,2022-02-11 10:25:00-05:00,2022-02-11 12:50:00-05:00,145.0,2022-02-11 10:25:00-05:00,2022-02-11 10:25:00-05:00,0.0,True,False,short,1.497,,True
2022-02-14T10:00:00-05:00,True,False,2022-02-14 10:00:00-05:00,2022-02-14 10:00:00-05:00,0.0,2022-02-14 10:00:00-05:00,2022-02-14 10:00:00-05:00,0.0,True,False,long,1.494,,True
2022-02-17T11:35:00-05:00,True,False,2022-02-17 11:35:00-05:00,2022-02-17 12:05:00-05:00,30.0,2022-02-17 11:35:00-05:00,2022-02-17 11:35:00-05:00,0.0,True,False,long,-0.019,,False
2022-02-22T10:00:00-05:00,False,True,2022-02-22 10:00:00-05:00,2022-02-22 11:20:00-05:00,80.0,2022-02-22 10:45:00-05:00,2022-02-22 10:45:00-05:00,45.0,False,False,long,-1.005,,False
2022-02-25T09:50:00-05:00,True,False,2022-02-25 09:50:00-05:00,2022-02-25 09:55:00-05:00,5.0,2022-02-25 09:50:00-05:00,2022-02-25 09:50:00-05:00,0.0,True,False,short,1.496,,True
2022-03-01T09:40:00-05:00,True,False,2022-03-01 09:40:00-05:00,2022-03-01 09:40:00-05:00,0.0,2022-03-01 09:40:00-05:00,2022-03-01 09:40:00-05:00,0.0,True,False,long,1.493,,True
2022-03-01T10:40:00-05:00,True,False,2022-03-01 10:40:00-05:00,2022-03-01 10:40:00-05:00,0.0,2022-03-01 10:40:00-05:00,2022-03-01 10:40:00-05:00,0.0,True,False,long,-1.049,,False
