model,confirm,entry,filter,bucket,stop,exit,n,tr_wk,wr,pf,expR,totR,maxDD_R,flag,mirage
fill,conf15,next_open,first15m_strength,>1.25,atr1.0,half_gap,26,0.048,0.4615,0.6205,-0.1374,-3.572,-3.435,sub_floor,True
fill,conf15,next_open,first15m_strength,>1.25,atr1.0,1.5R,26,0.048,0.3846,0.7543,-0.0921,-2.394,-3.486,sub_floor,False
fill,conf15,next_open,first15m_strength,>1.25,atr1.0,2R,26,0.048,0.3846,0.7705,-0.086,-2.236,-3.486,sub_floor,False
fill,conf15,next_open,first15m_strength,>1.25,atr1.5,prior_close,26,0.048,0.4231,0.7363,-0.068,-1.768,-1.889,sub_floor,False
fill,conf15,next_open,first15m_strength,>1.25,atr1.5,half_gap,26,0.048,0.5,0.6509,-0.0871,-2.263,-1.889,sub_floor,False
fill,conf15,next_open,first15m_strength,>1.25,atr1.5,1.5R,26,0.048,0.4231,0.8115,-0.0486,-1.264,-1.889,sub_floor,False
fill,conf15,next_open,first15m_strength,>1.25,atr1.5,2R,26,0.048,0.4231,0.8115,-0.0486,-1.264,-1.889,sub_floor,False
fill,conf15,pullback_limit,none,0.25-0.75,open_buffer,prior_close,355,0.655,0.3014,0.8313,-0.1384,-49.144,-68.35,dead,True
fill,conf15,pullback_limit,none,0.25-0.75,open_buffer,half_gap,355,0.655,0.4028,0.6555,-0.242,-85.9,-87.715,dead,True
fill,conf15,pullback_limit,none,0.25-0.75,open_buffer,1.5R,355,0.655,0.369,0.6436,-0.2656,-94.3,-96.33,dead,True
fill,conf15,pullback_limit,none,0.25-0.75,open_buffer,2R,355,0.655,0.3268,0.7253,-0.2166,-76.904,-82.154,dead,True
fill,conf15,pullback_limit,none,0.25-0.75,atr1.0,prior_close,355,0.655,0.5324,0.7948,-0.0443,-15.721,-20.438,dead,False
fill,conf15,pullback_limit,none,0.25-0.75,atr1.0,half_gap,355,0.655,0.6366,0.6212,-0.0676,-24.001,-26.099,dead,True
