level,side,event_type,window,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,1.0xATR,prior_day_mid,none,645,1.19,0.3473,0.8154,-0.1403,-90.464,-109.228,0,dead
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,63,0.116,0.3333,0.7163,-0.2098,-13.218,-18.045,0,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,1.0xATR,1.5R,none,919,1.696,0.4222,0.751,-0.1767,-162.419,-165.289,0,dead
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,91,0.168,0.4396,0.7358,-0.1895,-17.241,-15.853,0,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,1.0xATR,2R,none,919,1.696,0.3624,0.798,-0.1583,-145.452,-160.578,0,dead
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,1.0xATR,2R,vwap_slope_agreement,91,0.168,0.3626,0.7529,-0.2008,-18.27,-18.512,0,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,beyond_extreme_2tk,vwap,none,468,0.863,0.4038,0.6733,-0.2551,-119.386,-162.381,179,dead
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,9,0.017,0.2222,0.6765,-0.5425,-4.882,-9.525,21,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,beyond_extreme_2tk,prior_day_mid,none,550,1.015,0.2218,0.5498,-0.5656,-311.09,-314.09,179,dead
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,48,0.089,0.3125,0.63,-0.3593,-17.247,-18.73,21,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,beyond_extreme_2tk,1.5R,none,740,1.365,0.5041,0.6909,-0.2115,-156.541,-175.541,179,dead
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,beyond_extreme_2tk,1.5R,vwap_slope_agreement,70,0.129,0.4429,0.6224,-0.2787,-19.506,-22.119,21,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,beyond_extreme_2tk,2R,none,740,1.365,0.4581,0.7325,-0.218,-161.333,-185.533,179,dead
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,beyond_extreme_2tk,2R,vwap_slope_agreement,70,0.129,0.4143,0.7161,-0.2359,-16.516,-23.981,21,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,1.0xATR,vwap,none,468,0.863,0.5321,0.6882,-0.0994,-46.518,-53.445,179,dead
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,1.0xATR,vwap,vwap_slope_agreement,9,0.017,0.5556,1.0035,0.0018,0.017,-2.902,21,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,1.0xATR,prior_day_mid,none,550,1.015,0.3382,0.7066,-0.2293,-126.125,-125.503,179,dead
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,1.0xATR,prior_day_mid,vwap_slope_agreement,48,0.089,0.3958,0.7567,-0.1745,-8.378,-12.553,21,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,1.0xATR,1.5R,none,740,1.365,0.4,0.6804,-0.2354,-174.23,-174.431,179,dead
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,1.0xATR,1.5R,vwap_slope_agreement,70,0.129,0.3714,0.5468,-0.3645,-25.512,-25.672,21,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,1.0xATR,2R,none,740,1.365,0.3378,0.7209,-0.2269,-167.928,-168.63,179,dead
on_hi,upper,first_touch_rejection,0930_1030,retest_limit,1.0xATR,2R,vwap_slope_agreement,70,0.129,0.3429,0.6844,-0.2645,-18.512,-23.404,21,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,beyond_extreme_2tk,vwap,none,260,0.48,0.3462,0.5882,-0.3936,-102.343,-114.093,0,dead
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,11,0.02,0.5455,0.7926,-0.1601,-1.761,-5.375,0,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,336,0.62,0.2976,0.7175,-0.265,-89.033,-100.601,0,dead
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,111,0.205,0.3784,0.9133,-0.0603,-6.692,-20.3,0,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,beyond_extreme_2tk,1.5R,none,472,0.871,0.411,0.6045,-0.3138,-148.095,-149.328,0,dead
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,160,0.295,0.4625,0.8416,-0.1082,-17.311,-22.79,0,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,beyond_extreme_2tk,2R,none,472,0.871,0.3496,0.6348,-0.3213,-151.632,-153.366,0,dead
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,160,0.295,0.3625,0.7627,-0.1904,-30.467,-40.626,0,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,1.0xATR,vwap,none,260,0.48,0.4269,0.5998,-0.2845,-73.973,-82.397,0,dead
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,11,0.02,0.6364,0.9461,-0.0257,-0.282,-4.377,0,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,1.0xATR,prior_day_mid,none,336,0.62,0.2857,0.7085,-0.2532,-85.08,-94.697,0,dead
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,111,0.205,0.3333,0.8754,-0.095,-10.548,-24.168,0,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,1.0xATR,1.5R,none,472,0.871,0.4131,0.6766,-0.243,-114.692,-116.427,0,dead
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,160,0.295,0.4313,0.7198,-0.2025,-32.399,-34.239,0,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,1.0xATR,2R,none,472,0.871,0.3517,0.7332,-0.2219,-104.721,-108.435,0,dead
on_hi,upper,first_touch_rejection,1000_1130,next_bar_open,1.0xATR,2R,vwap_slope_agreement,160,0.295,0.3688,0.7826,-0.1746,-27.929,-29.606,0,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,beyond_extreme_2tk,vwap,none,231,0.426,0.2424,0.5153,-0.6608,-152.649,-163.531,91,dead
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,11,0.02,0.2727,0.7285,-0.4251,-4.677,-9.714,36,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,beyond_extreme_2tk,prior_day_mid,none,282,0.52,0.2234,0.6074,-0.4969,-140.122,-157.569,91,dead
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,88,0.162,0.2841,0.8213,-0.1727,-15.201,-39.081,36,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,beyond_extreme_2tk,1.5R,none,381,0.703,0.4436,0.5349,-0.3676,-140.049,-141.59,91,dead
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,beyond_extreme_2tk,1.5R,vwap_slope_agreement,124,0.229,0.4516,0.671,-0.2409,-29.866,-41.507,36,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,beyond_extreme_2tk,2R,none,381,0.703,0.4173,0.5893,-0.3725,-141.941,-149.186,91,dead
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,beyond_extreme_2tk,2R,vwap_slope_agreement,124,0.229,0.3871,0.6799,-0.27,-33.484,-44.455,36,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,1.0xATR,vwap,none,231,0.426,0.4026,0.6199,-0.2789,-64.434,-70.858,91,dead
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,1.0xATR,vwap,vwap_slope_agreement,11,0.02,0.5455,0.9796,-0.0113,-0.124,-2.902,36,sub_floor
on_hi,upper,first_touch_rejection,1000_1130,retest_limit,1.0xATR,prior_day_mid,none,282,0.52,0.2872,0.6948,-0.2645,-74.595,-90.154,91,dead
