idx,detector,c,p,W,trig_tk,E,exit_mode,Rmult,trail_atr,n,pf,wr,net,expR,is_n,is_pf,oos_n,oos_pf,minyr_pf
124,ratio,2.0,,6,4,8,R,1.5,2.0,2237,1.0027794161239751,42.914617791685295,227.375,0.0030559973097138214,1531,1.0728334293888275,706,0.902562578920003,0.8491992428793254
125,ratio,2.0,,6,4,8,R,2.0,2.0,2010,0.9687343946784087,39.25373134328358,-2488.75,-0.01616700371088497,1362,1.0654990790706693,648,0.8333546816959139,0.7795738932328934
126,ratio,2.0,,6,4,8,trail,2.0,2.0,3124,0.8921023140389729,36.7797695262484,-7441.071428571417,-0.037027415988908866,2098,0.9498964573112267,1026,0.8067788350560408,0.7743981585991155
127,ratio,2.0,,6,4,8,trail,2.0,3.0,2548,1.021226307646156,38.108320251177396,1522.5535714285597,0.01979381978945515,1721,1.0903066803698165,827,0.9216862418146545,0.8147981040799921
128,ratio,2.0,,12,1,4,R,1.5,2.0,455,1.0625974679299068,45.27472527472528,933.25,0.049032994330445015,285,1.2397376006361196,170,0.8810607089501562,0.6744296127993941
129,ratio,2.0,,12,1,4,R,2.0,2.0,452,1.1760468928518206,44.02654867256637,2658.0,0.11237614649330174,282,1.4061812329621965,170,0.9420623789487744,0.7637380717341231
130,ratio,2.0,,12,1,4,trail,2.0,2.0,482,0.9217304138752743,39.004149377593365,-783.6071428571377,0.04396970241406364,300,1.158683245006109,182,0.6598020218406909,0.506428262748494
131,ratio,2.0,,12,1,4,trail,2.0,3.0,460,1.206464824431253,41.30434782608695,2385.553571428536,0.1950868582582184,283,1.6083682765694278,177,0.7842592299160156,0.6938248731877551
132,ratio,2.0,,12,1,8,R,1.5,2.0,490,1.0729331875644796,45.91836734693878,1184.125,0.05617678128686034,306,1.238701171276139,184,0.9057038572179776,0.7289020358447886
133,ratio,2.0,,12,1,8,R,2.0,2.0,487,1.1787645843461352,44.558521560574945,2941.75,0.11019336359619619,303,1.3798975788612466,184,0.9765408402644488,0.8328074346228658
134,ratio,2.0,,12,1,8,trail,2.0,2.0,521,0.9520953913000219,39.15547024952015,-515.8214285714257,0.04035596390901822,323,1.1466318290394621,198,0.7430887148931531,0.49372094524793975
135,ratio,2.0,,12,1,8,trail,2.0,3.0,498,1.2018430749274787,41.365461847389554,2528.6071428571086,0.17860136556198544,305,1.5584189652568397,193,0.831241806126034,0.7269938650306746
136,ratio,2.0,,12,4,4,R,1.5,2.0,452,1.0611038874441554,45.35398230088495,916.375,0.05127136731588304,283,1.239183444821564,169,0.8787827671131203,0.674626725071829
137,ratio,2.0,,12,4,4,R,2.0,2.0,449,1.1490486950257066,43.652561247216035,2275.75,0.09924509251558672,280,1.4046330019358861,169,0.8944667777886721,0.7062325410999679
138,ratio,2.0,,12,4,4,trail,2.0,2.0,477,0.9096532447252277,38.78406708595388,-905.0357142857065,0.04078068472251983,297,1.1509853695818266,180,0.6456152663093029,0.5051377350240559
139,ratio,2.0,,12,4,4,trail,2.0,3.0,456,1.1963899541981395,40.78947368421053,2268.71428571425,0.1899181717150777,281,1.5979013273681755,175,0.7750395995691526,0.6994173583246314
